DATE,USAWSCNDW01MLSAM
2000-01-01,1573333.33333333398
2001-01-01,1601166.66666666700
2002-01-01,1710249.999999999
2003-01-01,1853750.000000000
2004-01-01,1949500.000000000
2005-01-01,2072916.666666667
2006-01-01,1815249.99999999901
2007-01-01,1341833.33333333301
2008-01-01,900000.0000000000
2009-01-01,553999.9999999999
2010-01-01,584916.6666666667
2011-01-01,611916.6666666667
2012-01-01,783750.0000000000
2013-01-01,928250.0000000000
2014-01-01,1000583.3333333334
2015-01-01,1107083.33333333301
2016-01-01,1177250.00000000097
2017-01-01,1209833.33333333233
2018-01-01,1246833.33333333301
2019-01-01,1291500.00000000029
2020-01-01,1396916.66666666659
